date-time,par
Sun May 7 08:41:46 2023,125.881
Sun May 7 09:11:46 2023,154.995
Sun May 7 09:41:46 2023,105.573
Sun May 7 10:11:46 2023,103.719
Sun May 7 10:41:46 2023,175.531
Sun May 7 11:11:46 2023,250.499
Sun May 7 11:41:46 2023,321.184
Sun May 7 12:11:46 2023,183.031
Sun May 7 12:41:46 2023,236.748
Sun May 7 13:11:46 2023,241.694
Sun May 7 13:41:46 2023,198.795
Sun May 7 14:11:46 2023,239.143
Sun May 7 14:41:46 2023,201.737
Sun May 7 15:11:46 2023,232.55
Sun May 7 15:41:46 2023,110.558
Sun May 7 16:11:46 2023,133.045
Sun May 7 16:41:46 2023,144.514
Sun May 7 17:11:46 2023,53.1412
Sun May 7 17:41:46 2023,89.8569
Sun May 7 18:11:46 2023,54.3073
Sun May 7 18:41:46 2023,50.2509
Sun May 7 19:11:46 2023,38.9805
Sun May 7 19:41:46 2023,12.3144
Sun May 7 20:11:46 2023,0.811283
Sun May 7 20:41:46 2023,0
Sun May 7 21:11:46 2023,0
Sun May 7 21:41:46 2023,0
Sun May 7 22:11:46 2023,0
Sun May 7 22:41:46 2023,0
Sun May 7 23:11:46 2023,0
Sun May 7 23:41:46 2023,0
Mon May 8 00:11:46 2023,0
Mon May 8 00:41:46 2023,0
Mon May 8 01:11:46 2023,0
Mon May 8 01:41:46 2023,0
Mon May 8 02:11:46 2023,0
Mon May 8 02:41:46 2023,0
Mon May 8 03:11:46 2023,0
Mon May 8 03:41:46 2023,0
Mon May 8 04:11:46 2023,0
Mon May 8 04:41:46 2023,0
Mon May 8 05:11:46 2023,0
Mon May 8 05:41:46 2023,0
Mon May 8 06:11:46 2023,0
Mon May 8 06:41:46 2023,0.213555
Mon May 8 07:11:46 2023,4.11202
Mon May 8 07:41:46 2023,17.0272
Mon May 8 08:11:46 2023,28.0453
Mon May 8 08:41:46 2023,40.8795
Mon May 8 09:11:46 2023,60.6931
Mon May 8 09:41:46 2023,100.178
Mon May 8 10:11:46 2023,170.112
Mon May 8 10:41:46 2023,185.777
Mon May 8 11:11:46 2023,257.646
Mon May 8 11:41:46 2023,295.273
Mon May 8 12:11:46 2023,320.258
Mon May 8 12:41:46 2023,252.03
Mon May 8 13:11:46 2023,279.258
Mon May 8 13:41:46 2023,213.62
Mon May 8 14:11:46 2023,288.382
Mon May 8 14:41:46 2023,71.3507
Mon May 8 15:11:46 2023,199.962
Mon May 8 15:41:46 2023,163.085
Mon May 8 16:11:46 2023,125.174
Mon May 8 16:41:46 2023,142.577
Mon May 8 17:11:46 2023,113.727
Mon May 8 17:41:46 2023,76.9052
Mon May 8 18:11:46 2023,62.0623
Mon May 8 18:41:46 2023,29.4441
Mon May 8 19:11:46 2023,22.6397
Mon May 8 19:41:46 2023,8.41323
Mon May 8 20:11:46 2023,0.404892
