DateTime,Indoor Temp Z4 (F)
Wed May 17 17:03:41 2023,81.927
Wed May 17 18:03:41 2023,82.1809
Wed May 17 19:03:41 2023,80.7604
Wed May 17 20:03:41 2023,77.8811
Wed May 17 21:03:41 2023,75.756
Wed May 17 22:03:41 2023,74.3543
Wed May 17 23:03:41 2023,74.2249
Thu May 18 00:03:41 2023,75.0266
Thu May 18 01:03:41 2023,74.7128
Thu May 18 02:03:41 2023,75.3136
Thu May 18 03:03:41 2023,74.6936
Thu May 18 04:03:41 2023,75.5751
Thu May 18 05:03:41 2023,75.0397
Thu May 18 06:03:41 2023,74.9905
Thu May 18 07:03:41 2023,73.4419
Thu May 18 08:03:41 2023,75.3037
Thu May 18 09:03:41 2023,74.6466
Thu May 18 10:03:41 2023,73.7461
Thu May 18 11:03:41 2023,75.165
Thu May 18 12:03:41 2023,81.6098
Thu May 18 13:03:41 2023,83.1907
Thu May 18 14:03:41 2023,84.2253
Thu May 18 15:03:41 2023,80.5545
Thu May 18 16:03:41 2023,78.6787
Thu May 18 17:03:41 2023,74.611
Thu May 18 18:03:41 2023,74.3736
Thu May 18 19:03:41 2023,75.4811
Thu May 18 20:03:41 2023,75.1698
Thu May 18 21:03:41 2023,75.3748
Thu May 18 22:03:41 2023,75.6342
Thu May 18 23:03:41 2023,75.8138
Fri May 19 00:03:41 2023,75.7246
Fri May 19 01:03:41 2023,76.0803
Fri May 19 02:03:41 2023,75.7564
Fri May 19 03:03:41 2023,76.2978
Fri May 19 04:03:41 2023,75.6049
Fri May 19 05:03:41 2023,76.5892
Fri May 19 06:03:41 2023,75.7474
Fri May 19 07:03:41 2023,75.846
Fri May 19 08:03:41 2023,74.2034
Fri May 19 09:03:41 2023,78.0818
Fri May 19 10:03:41 2023,81.4263
Fri May 19 11:03:41 2023,82.6631
Fri May 19 12:03:41 2023,85.5566
Fri May 19 13:03:41 2023,84.5735
Fri May 19 14:03:41 2023,84.0584
Fri May 19 15:03:41 2023,84.9992
Fri May 19 16:03:41 2023,84.3106
Fri May 19 17:03:41 2023,83.2235
Fri May 19 18:03:41 2023,83.9666
Fri May 19 19:03:41 2023,82.1596
Fri May 19 20:03:41 2023,77.627
Fri May 19 21:03:41 2023,74.6668
Fri May 19 22:03:41 2023,74.3982
Fri May 19 23:03:41 2023,75.3301
Sat May 20 00:03:41 2023,74.9209
Sat May 20 01:03:41 2023,74.7148
Sat May 20 02:03:41 2023,75.5208
Sat May 20 03:03:41 2023,75.3978
Sat May 20 04:03:41 2023,75.3798
Sat May 20 05:03:41 2023,75.595
Sat May 20 06:03:41 2023,75.5058
Sat May 20 07:03:41 2023,75.4213
Sat May 20 08:03:41 2023,75.6428
Sat May 20 09:03:41 2023,76.4599
Sat May 20 10:03:41 2023,80.3392
Sat May 20 11:03:41 2023,84.5825
Sat May 20 12:03:41 2023,83.1631
Sat May 20 13:03:41 2023,84.5647
Sat May 20 14:03:41 2023,83.2297
Sat May 20 15:03:41 2023,83.6562
Sat May 20 16:03:41 2023,85.0552
Sat May 20 17:03:41 2023,82.4807
Sat May 20 18:03:41 2023,83.56
Sat May 20 19:03:41 2023,82.3663
Sat May 20 20:03:41 2023,78.5013
Sat May 20 21:03:41 2023,76.903
Sat May 20 22:03:41 2023,75.5775
Sat May 20 23:03:41 2023,74.4137
Sun May 21 00:03:41 2023,75.043
Sun May 21 01:03:41 2023,74.56
Sun May 21 02:03:41 2023,75.3713
Sun May 21 03:03:41 2023,76.0625
Sun May 21 04:03:41 2023,75.4053
Sun May 21 05:03:41 2023,75.3967
Sun May 21 06:03:41 2023,75.6498
Sun May 21 07:03:41 2023,75.2848
Sun May 21 08:03:41 2023,79.7539
Sun May 21 09:03:41 2023,82.7454
Sun May 21 10:03:41 2023,85.4137
Sun May 21 11:03:41 2023,83.9806
Sun May 21 12:03:41 2023,85.421
Sun May 21 13:03:41 2023,84.4398
Sun May 21 14:03:41 2023,85.2878
Sun May 21 15:03:41 2023,85.108
Sun May 21 16:03:41 2023,84.9869
Sun May 21 17:03:41 2023,85.7077
Sun May 21 18:03:41 2023,85.4345
Sun May 21 19:03:41 2023,82.4196
Sun May 21 20:03:41 2023,79.1391
Sun May 21 21:03:41 2023,76.7143
Sun May 21 22:03:41 2023,75.5273
Sun May 21 23:03:41 2023,74.9093
Mon May 22 00:03:41 2023,73.7874
Mon May 22 01:03:41 2023,74.6788
Mon May 22 02:03:41 2023,74.7725
Mon May 22 03:03:41 2023,74.8603
Mon May 22 04:03:41 2023,74.8011
Mon May 22 05:03:41 2023,74.7121
Mon May 22 06:03:41 2023,74.6076
Mon May 22 07:03:41 2023,73.7135
Mon May 22 08:03:41 2023,77.16
Mon May 22 09:03:41 2023,82.5688
