date-time,temperature_f
Wed May 10 09:06:16 2023,85.7417
Wed May 10 09:36:16 2023,84.9626
Wed May 10 10:06:16 2023,83.9689
Wed May 10 10:36:16 2023,85.7292
Wed May 10 11:06:16 2023,85.076
Wed May 10 11:36:16 2023,84.9487
Wed May 10 12:06:16 2023,85.7323
Wed May 10 12:36:16 2023,85.791
Wed May 10 13:06:16 2023,86.3072
Wed May 10 13:36:16 2023,86.5915
Wed May 10 14:06:16 2023,86.0292
Wed May 10 14:36:16 2023,86.3387
Wed May 10 15:06:16 2023,85.278
Wed May 10 15:36:16 2023,85.656
Wed May 10 16:06:16 2023,85.5208
Wed May 10 16:36:16 2023,84.734
Wed May 10 17:06:16 2023,85.5021
Wed May 10 17:36:16 2023,85.06
Wed May 10 18:06:16 2023,86.2433
Wed May 10 18:36:16 2023,85.1323
Wed May 10 19:06:16 2023,85.6641
Wed May 10 19:36:16 2023,83.3578
Wed May 10 20:06:16 2023,81.3962
Wed May 10 20:36:16 2023,79.7223
Wed May 10 21:06:16 2023,78.3467
Wed May 10 21:36:16 2023,77.6948
Wed May 10 22:06:16 2023,77.278
Wed May 10 22:36:16 2023,77.0178
Wed May 10 23:06:16 2023,76.7934
Wed May 10 23:36:16 2023,76.5307
Thu May 11 00:06:16 2023,76.298
Thu May 11 00:36:16 2023,75.9227
Thu May 11 01:06:16 2023,75.4654
Thu May 11 01:36:16 2023,75.2157
Thu May 11 02:06:16 2023,75.0607
Thu May 11 02:36:16 2023,74.7943
Thu May 11 03:06:16 2023,74.5005
Thu May 11 03:36:16 2023,74.1773
Thu May 11 04:06:16 2023,73.8849
Thu May 11 04:36:16 2023,73.6546
Thu May 11 05:06:16 2023,75.074
Thu May 11 05:36:16 2023,74.5171
Thu May 11 06:06:16 2023,75.5124
Thu May 11 06:36:16 2023,74.0542
Thu May 11 07:06:16 2023,73.9479
Thu May 11 07:36:16 2023,74.6083
Thu May 11 08:06:16 2023,76.248
Thu May 11 08:36:16 2023,81.0232
Thu May 11 09:06:16 2023,83.0716
Thu May 11 09:36:16 2023,84.3805
Thu May 11 10:06:16 2023,85.8852
Thu May 11 10:36:16 2023,85.0004
Thu May 11 11:06:16 2023,83.0818
Thu May 11 11:36:16 2023,84.5581
Thu May 11 12:06:16 2023,84.2415
Thu May 11 12:36:16 2023,84.1964
Thu May 11 13:06:16 2023,81.8143
Thu May 11 13:36:16 2023,83.0513
Thu May 11 14:06:16 2023,85.7791
Thu May 11 14:36:16 2023,84.4688
Thu May 11 15:06:16 2023,85.5368
Thu May 11 15:36:16 2023,85.1857
Thu May 11 16:06:16 2023,84.7841
Thu May 11 16:36:16 2023,85.0698
Thu May 11 17:06:16 2023,84.2338
Thu May 11 17:36:16 2023,83.5598
Thu May 11 18:06:16 2023,84.006
Thu May 11 18:36:16 2023,85.2624
Thu May 11 19:06:16 2023,84.7335
Thu May 11 19:36:16 2023,82.585
Thu May 11 20:06:16 2023,80.2851
Thu May 11 20:36:16 2023,78.8723
Thu May 11 21:06:16 2023,77.7521
Thu May 11 21:36:16 2023,76.8093
Thu May 11 22:06:16 2023,75.9762
Thu May 11 22:36:16 2023,75.2847
Thu May 11 23:06:16 2023,74.6926
Thu May 11 23:36:16 2023,74.1755
Fri May 12 00:06:16 2023,73.7935
Fri May 12 00:36:16 2023,73.2924
Fri May 12 01:06:16 2023,76.2457
Fri May 12 01:36:16 2023,73.9568
Fri May 12 02:06:16 2023,73.2618
Fri May 12 02:36:16 2023,75.672
Fri May 12 03:06:16 2023,73.7688
Fri May 12 03:36:16 2023,76.3225
Fri May 12 04:06:16 2023,73.4188
Fri May 12 04:36:16 2023,75.8005
Fri May 12 05:06:16 2023,73.7316
Fri May 12 05:36:16 2023,75.8687
Fri May 12 06:06:16 2023,75.4838
Fri May 12 06:36:16 2023,73.544
Fri May 12 07:06:16 2023,73.8903
Fri May 12 07:36:16 2023,75.807
Fri May 12 08:06:16 2023,77.3288
Fri May 12 08:36:16 2023,78.2877
Fri May 12 09:06:16 2023,77.8284
Fri May 12 09:36:16 2023,78.0954
Fri May 12 10:06:16 2023,80.2705
Fri May 12 10:36:16 2023,82.9571
Fri May 12 11:06:16 2023,78.5204
Fri May 12 11:36:16 2023,76.293
Fri May 12 12:06:16 2023,78.0815
Fri May 12 12:36:16 2023,82.5159
Fri May 12 13:06:16 2023,84.8002
Fri May 12 13:36:16 2023,84.2926
Fri May 12 14:06:16 2023,81.681
Fri May 12 14:36:16 2023,82.8807
Fri May 12 15:06:16 2023,84.649
Fri May 12 15:36:16 2023,84.93
Fri May 12 16:06:16 2023,86.2145
Fri May 12 16:36:16 2023,85.1697
Fri May 12 17:06:16 2023,83.5461
Fri May 12 17:36:16 2023,82.3891
Fri May 12 18:06:16 2023,81.8967
Fri May 12 18:36:16 2023,81.8299
Fri May 12 19:06:16 2023,80.5178
Fri May 12 19:36:16 2023,78.531
Fri May 12 20:06:16 2023,77.1418
Fri May 12 20:36:16 2023,76.1512
Fri May 12 21:06:16 2023,75.4801
Fri May 12 21:36:16 2023,74.8407
Fri May 12 22:06:16 2023,74.2002
Fri May 12 22:36:16 2023,73.8914
Fri May 12 23:06:16 2023,73.7077
Fri May 12 23:36:16 2023,75.2562
Sat May 13 00:06:16 2023,74.2189
Sat May 13 00:36:16 2023,75.4484
Sat May 13 01:06:16 2023,75.2901
Sat May 13 01:36:16 2023,74.3298
Sat May 13 02:06:16 2023,75.1737
Sat May 13 02:36:16 2023,75.4571
Sat May 13 03:06:16 2023,75.4069
Sat May 13 03:36:16 2023,75.6904
Sat May 13 04:06:16 2023,75.8742
