genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR55057.1_231	9.39903	6.84082	3.05502	7.81749	4.05719
lcl|KZ248545.1_cds_OWR55058.1_232	40.4122	17.5093	20.6653	28.765	16.2835
lcl|KZ248545.1_cds_OWR55059.1_233	8.33824	4.50099	4.3096	6.04964	3.56724
lcl|KZ248545.1_cds_OWR55060.1_234	15.5853	7.89541	10.9617	26.4694	20.7253
lcl|KZ248545.1_cds_OWR55061.1_235	3.18108	1.5585	3.919145	2.23754	1.93245
lcl|KZ248545.1_cds_OWR55062.1_236	7.65026	3.93964	5.03793	5.09026	2.22646
lcl|KZ248545.1_cds_OWR55063.1_237	3.77892	2.71143	6.3698	4.57348	3.56909
lcl|KZ248545.1_cds_OWR55064.1_238	7.42236	3.31931	4.590825000000001	4.50816	2.15927
lcl|KZ248545.1_cds_OWR55065.1_239	11.6992	8.10618	27.301949999999998	16.3966	20.1801
lcl|KZ248545.1_cds_OWR55066.1_240	4.535	3.60598	4.774655	2.30716	11.0893
lcl|KZ248545.1_cds_OWR55067.1_241	0.102711	0.225175	1.016712	0.0323962	1.76766
lcl|KZ248545.1_cds_OWR55068.1_242	0.102442	0.0178334	0.0717628	0.0	0.0
lcl|KZ248545.1_cds_OWR55069.1_243	0.0458753	0.276962	1.7836503	0.279617	1.83107
lcl|KZ248545.1_cds_OWR55070.1_244	1.46451	1.08391	0.1738595	0.256476	0.108095
lcl|KZ248545.1_cds_OWR55071.1_245	8.53161	8.57858	14.53905	15.9101	9.2473
lcl|KZ248545.1_cds_OWR55072.1_246	5.46572	17.1333	23.254649999999998	4.11179	8.24638
lcl|KZ248545.1_cds_OWR55073.1_247	23.5759	62.3348	93.60749999999999	14.6888	27.193
lcl|KZ248545.1_cds_OWR55074.1_248	0.576222	0.367024	3.167135	0.158122	0.329769
lcl|KZ248545.1_cds_OWR55075.1_249	10.5189	4.19435	2.51661	7.89835	26.4107
lcl|KZ248545.1_cds_OWR55076.1_250	0.774226	0.611307	3.757151	0.0768037	17.5235
lcl|KZ248545.1_cds_OWR55077.1_251	7.44558	5.6554	8.05247	7.09968	10.344
lcl|KZ248545.1_cds_OWR55078.1_252	0.254688	0.0	0.0	0.0	0.107928
lcl|KZ248545.1_cds_OWR55079.1_253	15.8374	12.158	16.31095	10.2055	7.01609
lcl|KZ248545.1_cds_OWR55080.1_254	4.74205	2.54057	5.090035	4.72583	2.33719
lcl|KZ248545.1_cds_OWR55081.1_255	0.364892	0.0468893	0.11903749999999999	0.221446	0.24621
lcl|KZ248545.1_cds_OWR55082.1_256	1.42977	3.33191	0.05205635	0.0	12.121
lcl|KZ248545.1_cds_OWR55083.1_257	9.94627	9.47599	9.07891	8.85924	6.85926
lcl|KZ248545.1_cds_OWR55084.1_258	3.62938	1.88853	4.40922	2.1507	2.17991
lcl|KZ248545.1_cds_OWR55085.1_259	539.084	511.815	71.52029999999999	480.362	753.432
lcl|KZ248545.1_cds_OWR55086.1_260	19.2834	11.0086	26.33395	16.4265	12.2079
lcl|KZ248545.1_cds_OWR55087.1_261	2.66719	1.53471	2.491995	1.99647	3.65411
lcl|KZ248545.1_cds_OWR55088.1_262	0.747413	0.0	0.269215	0.0	0.0
lcl|KZ248545.1_cds_OWR55089.1_263	0.128304	0.154298	0.199389	0.0	0.0
lcl|KZ248545.1_cds_OWR55090.1_264	0.0	0.0	0.0	0.0	0.0
lcl|KZ248545.1_cds_OWR55091.1_265	14.2726	8.07424	11.2034	5.88138	3.69935
lcl|KZ248545.1_cds_OWR55092.1_266	77.1056	27.9022	68.35849999999999	43.8233	18.7919
lcl|KZ248545.1_cds_OWR55093.1_267	7.14562	5.35186	2.722845	3.70991	3.82275
lcl|KZ248545.1_cds_OWR55094.1_268	0.997704	0.517256	1.5613299999999999	0.915982	0.480036
lcl|KZ248545.1_cds_OWR55095.1_269	15.4948	6.3328	7.093895	5.53669	3.56218
lcl|KZ248545.1_cds_OWR55096.1_270	690.43	613.573	0.0078896	0.118339	0.438573
lcl|KZ248545.1_cds_OWR55097.1_271	4.80153	3.19922	5.855659999999999	12.1017	11.5491
lcl|KZ248545.1_cds_OWR55098.1_272	7.84075	7.20776	5.27508	7.52255	11.0156
lcl|KZ248545.1_cds_OWR55099.1_273	0.145626	0.231938	2.311473	0.1641	3.4868
lcl|KZ248545.1_cds_OWR55100.1_274	24.3527	9.09866	9.437204999999999	9.47741	10.5518
lcl|KZ248545.1_cds_OWR55101.1_275	26.4496	5.09698	11.357655000000001	20.541	22.0881
