genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR54950.1_124	2.55851	0.502684	3.62885	0.950601	0.359593
lcl|KZ248545.1_cds_OWR54951.1_125	1.71981	0.369689	0.651723	36.8923	0.876145
lcl|KZ248545.1_cds_OWR54952.1_126	16.5818	6.69208	11.625	23.8541	9.37195
lcl|KZ248545.1_cds_OWR54953.1_127	5.80795	26.3788	4761.03	3413.59	2345.29
lcl|KZ248545.1_cds_OWR54954.1_128	3.39543	1.74239	4.38005	8.72241	3.90621
lcl|KZ248545.1_cds_OWR54955.1_129	104.605	33.0789	60.3324	27.8228	10.1264
lcl|KZ248545.1_cds_OWR54956.1_130	6.0769	2.47837	6.14211	6.63754	2.85165
lcl|KZ248545.1_cds_OWR54957.1_131	134.268	123.339	94.8007	102.482	43.524
lcl|KZ248545.1_cds_OWR54958.1_132	7.0117	4.31304	11.0444	4.65005	3.05684
lcl|KZ248545.1_cds_OWR54959.1_133	52.251	60.6868	71.3351	95.3395	12.5688
lcl|KZ248545.1_cds_OWR54960.1_134	28.1168	21.2251	25.6208	29.2066	64.3368
lcl|KZ248545.1_cds_OWR54961.1_135	0.0189663	0.0306884	0.467218	1.57723	1.12697
lcl|KZ248545.1_cds_OWR54962.1_136	9.10541	5.07231	14.1322	6.86498	4.23541
lcl|KZ248545.1_cds_OWR54963.1_137	994.033	800.949	139.78	1030.71	2399.79
lcl|KZ248545.1_cds_OWR54964.1_138	5.31448	2.15008	5.39238	3.39324	2.04175
lcl|KZ248545.1_cds_OWR54965.1_139	3.29797	1.07811	4.62475	0.69042	0.880333
lcl|KZ248545.1_cds_OWR54966.1_140	2.34061	0.858891	4.81937	0.400283	0.489738
lcl|KZ248545.1_cds_OWR54967.1_141	52.6681	12.4221	15.283	1.68816	63.9
lcl|KZ248545.1_cds_OWR54968.1_142	211.989	145.842	67.3108	73.7916	38.1368
lcl|KZ248545.1_cds_OWR54969.1_143	5.4914	5.8752	7.10047	9.85042	8.81885
lcl|KZ248545.1_cds_OWR54970.1_144	1.63054	0.24645	0.966564	0.287765	0.116702
lcl|KZ248545.1_cds_OWR54971.1_145	8.00118	2.60477	6.37253	5.52175	2.45984
lcl|KZ248545.1_cds_OWR54972.1_146	8.37928	4.98328	3.6479	9.25504	4.48197
lcl|KZ248545.1_cds_OWR54973.1_147	16.3992	6.93649	8.39733	8.31821	2.69514
lcl|KZ248545.1_cds_OWR54974.1_148	12.3301	4.10669	17.2499	11.2693	7.1672
lcl|KZ248545.1_cds_OWR54975.1_149	3.88735	0.803809	2.53694	1.12793	0.741697
lcl|KZ248545.1_cds_OWR54976.1_150	124.702	54.2296	77.3725	56.6077	40.5297
lcl|KZ248545.1_cds_OWR54977.1_151	102.213	56.3213	57.0637	48.5974	25.6017
lcl|KZ248545.1_cds_OWR54978.1_152	8.20741	5.61035	20.134	13.2038	10.1519
lcl|KZ248545.1_cds_OWR54979.1_153	42.7225	21.3645	34.5784	24.7086	31.1544
lcl|KZ248545.1_cds_OWR54980.1_154	43.1064	16.3288	28.2743	18.4619	21.0211
lcl|KZ248545.1_cds_OWR54981.1_155	0.128806	0.103966	0.591731	0.418999	1.16993
lcl|KZ248545.1_cds_OWR54982.1_156	8.70226	7.46757	8860.26	5151.97	19334.6
lcl|KZ248545.1_cds_OWR54983.1_157	1.52043	0.557287	4.47177	1.68219	1.89805
lcl|KZ248545.1_cds_OWR54984.1_158	4.07867	1.34521	6.45634	3.02264	2.72544
lcl|KZ248545.1_cds_OWR54985.1_159	2.54065	0.610991	3.80133	0.748548	1.85989
lcl|KZ248545.1_cds_OWR54986.1_160	2.39462	0.736659	4.82998	1.22784	2.43057
lcl|KZ248545.1_cds_OWR54987.1_161	0.0	0.0	0.0	0.728774	1.07632
lcl|KZ248545.1_cds_OWR54988.1_162	0.0	0.0	0.0	0.708621	0.504938
lcl|KZ248545.1_cds_OWR54989.1_163	0.0	0.0	0.0	0.057758	0.11474
lcl|KZ248545.1_cds_OWR54990.1_164	0.0	0.0	0.227469	1.17707	2.07
